record_id,customer_id,region_id,group,segment,contact_date,converted,conversion_window_end_date,source_file
2026q3-conv-0001,2026q3-jeju-treatment-0001,jeju,treatment,domestic,2026-08-20,N,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0002,2026q3-jeju-treatment-0002,jeju,treatment,domestic,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0003,2026q3-jeju-treatment-0003,jeju,treatment,tourist,2026-08-20,N,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0004,2026q3-jeju-treatment-0004,jeju,treatment,tourist,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0005,2026q3-jeju-treatment-0005,jeju,treatment,tourist,2026-08-26,N,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0006,2026q3-jeju-treatment-0006,jeju,treatment,tourist,2026-08-30,N,2026-09-06,pilot_conversion_2026q3.csv
2026q3-conv-0007,2026q3-jeju-treatment-0007,jeju,treatment,tourist,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0008,2026q3-jeju-treatment-0008,jeju,treatment,tourist,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0009,2026q3-jeju-treatment-0009,jeju,treatment,domestic,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0010,2026q3-jeju-treatment-0010,jeju,treatment,tourist,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0011,2026q3-jeju-treatment-0011,jeju,treatment,domestic,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0012,2026q3-jeju-treatment-0012,jeju,treatment,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0013,2026q3-jeju-treatment-0013,jeju,treatment,domestic,2026-08-27,N,2026-09-03,pilot_conversion_2026q3.csv
2026q3-conv-0014,2026q3-jeju-treatment-0014,jeju,treatment,tourist,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0015,2026q3-jeju-treatment-0015,jeju,treatment,domestic,2026-08-26,N,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0016,2026q3-jeju-treatment-0016,jeju,treatment,domestic,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0017,2026q3-jeju-treatment-0017,jeju,treatment,tourist,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0018,2026q3-jeju-treatment-0018,jeju,treatment,tourist,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0019,2026q3-jeju-treatment-0019,jeju,treatment,domestic,2026-08-28,N,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0020,2026q3-jeju-treatment-0020,jeju,treatment,domestic,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0021,2026q3-jeju-treatment-0021,jeju,treatment,domestic,2026-08-26,N,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0022,2026q3-jeju-treatment-0022,jeju,treatment,tourist,2026-08-29,N,2026-09-05,pilot_conversion_2026q3.csv
2026q3-conv-0023,2026q3-jeju-treatment-0023,jeju,treatment,tourist,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0024,2026q3-jeju-treatment-0024,jeju,treatment,domestic,2026-08-19,N,2026-08-26,pilot_conversion_2026q3.csv
2026q3-conv-0025,2026q3-jeju-treatment-0025,jeju,treatment,tourist,2026-08-29,N,2026-09-05,pilot_conversion_2026q3.csv
2026q3-conv-0026,2026q3-jeju-control-0026,jeju,control,tourist,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0027,2026q3-jeju-control-0027,jeju,control,tourist,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0028,2026q3-jeju-control-0028,jeju,control,tourist,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0029,2026q3-jeju-control-0029,jeju,control,domestic,2026-08-20,N,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0030,2026q3-jeju-control-0030,jeju,control,domestic,2026-08-23,Y,2026-08-30,pilot_conversion_2026q3.csv
2026q3-conv-0031,2026q3-jeju-control-0031,jeju,control,domestic,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0032,2026q3-jeju-control-0032,jeju,control,tourist,2026-08-25,Y,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0033,2026q3-jeju-control-0033,jeju,control,domestic,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0034,2026q3-jeju-control-0034,jeju,control,tourist,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0035,2026q3-jeju-control-0035,jeju,control,domestic,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0036,2026q3-jeju-control-0036,jeju,control,domestic,2026-08-19,N,2026-08-26,pilot_conversion_2026q3.csv
2026q3-conv-0037,2026q3-jeju-control-0037,jeju,control,domestic,2026-08-19,N,2026-08-26,pilot_conversion_2026q3.csv
2026q3-conv-0038,2026q3-jeju-control-0038,jeju,control,tourist,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0039,2026q3-jeju-control-0039,jeju,control,domestic,2026-08-16,Y,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0040,2026q3-jeju-control-0040,jeju,control,domestic,2026-08-28,N,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0041,2026q3-jeju-control-0041,jeju,control,tourist,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0042,2026q3-jeju-control-0042,jeju,control,domestic,2026-08-28,Y,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0043,2026q3-jeju-control-0043,jeju,control,tourist,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0044,2026q3-jeju-control-0044,jeju,control,tourist,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0045,2026q3-jeju-control-0045,jeju,control,tourist,2026-08-29,N,2026-09-05,pilot_conversion_2026q3.csv
2026q3-conv-0046,2026q3-jeju-control-0046,jeju,control,domestic,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0047,2026q3-jeju-control-0047,jeju,control,tourist,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0048,2026q3-jeju-control-0048,jeju,control,domestic,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0049,2026q3-jeju-control-0049,jeju,control,tourist,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0050,2026q3-jeju-control-0050,jeju,control,tourist,2026-08-30,Y,2026-09-06,pilot_conversion_2026q3.csv
2026q3-conv-0051,2026q3-seoul-treatment-0051,seoul,treatment,domestic,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0052,2026q3-seoul-treatment-0052,seoul,treatment,domestic,2026-08-26,Y,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0053,2026q3-seoul-treatment-0053,seoul,treatment,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0054,2026q3-seoul-treatment-0054,seoul,treatment,domestic,2026-08-20,N,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0055,2026q3-seoul-treatment-0055,seoul,treatment,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0056,2026q3-seoul-treatment-0056,seoul,treatment,domestic,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0057,2026q3-seoul-treatment-0057,seoul,treatment,domestic,2026-08-24,Y,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0058,2026q3-seoul-treatment-0058,seoul,treatment,domestic,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0059,2026q3-seoul-treatment-0059,seoul,treatment,domestic,2026-08-20,Y,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0060,2026q3-seoul-treatment-0060,seoul,treatment,domestic,2026-08-30,N,2026-09-06,pilot_conversion_2026q3.csv
2026q3-conv-0061,2026q3-seoul-treatment-0061,seoul,treatment,domestic,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0062,2026q3-seoul-treatment-0062,seoul,treatment,domestic,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0063,2026q3-seoul-treatment-0063,seoul,treatment,domestic,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0064,2026q3-seoul-treatment-0064,seoul,treatment,domestic,2026-08-20,N,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0065,2026q3-seoul-treatment-0065,seoul,treatment,domestic,2026-08-23,Y,2026-08-30,pilot_conversion_2026q3.csv
2026q3-conv-0066,2026q3-seoul-treatment-0066,seoul,treatment,tourist,2026-08-27,N,2026-09-03,pilot_conversion_2026q3.csv
2026q3-conv-0067,2026q3-seoul-treatment-0067,seoul,treatment,domestic,2026-08-16,Y,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0068,2026q3-seoul-treatment-0068,seoul,treatment,tourist,2026-08-29,N,2026-09-05,pilot_conversion_2026q3.csv
2026q3-conv-0069,2026q3-seoul-treatment-0069,seoul,treatment,domestic,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0070,2026q3-seoul-treatment-0070,seoul,treatment,domestic,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0071,2026q3-seoul-treatment-0071,seoul,treatment,domestic,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0072,2026q3-seoul-treatment-0072,seoul,treatment,domestic,2026-08-28,N,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0073,2026q3-seoul-treatment-0073,seoul,treatment,tourist,2026-08-21,Y,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0074,2026q3-seoul-treatment-0074,seoul,treatment,domestic,2026-08-23,N,2026-08-30,pilot_conversion_2026q3.csv
2026q3-conv-0075,2026q3-seoul-treatment-0075,seoul,treatment,tourist,2026-08-21,Y,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0076,2026q3-seoul-control-0076,seoul,control,domestic,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0077,2026q3-seoul-control-0077,seoul,control,tourist,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0078,2026q3-seoul-control-0078,seoul,control,tourist,2026-08-20,Y,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0079,2026q3-seoul-control-0079,seoul,control,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0080,2026q3-seoul-control-0080,seoul,control,domestic,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0081,2026q3-seoul-control-0081,seoul,control,domestic,2026-08-20,Y,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0082,2026q3-seoul-control-0082,seoul,control,domestic,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0083,2026q3-seoul-control-0083,seoul,control,domestic,2026-08-28,N,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0084,2026q3-seoul-control-0084,seoul,control,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0085,2026q3-seoul-control-0085,seoul,control,domestic,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0086,2026q3-seoul-control-0086,seoul,control,tourist,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0087,2026q3-seoul-control-0087,seoul,control,domestic,2026-08-23,N,2026-08-30,pilot_conversion_2026q3.csv
2026q3-conv-0088,2026q3-seoul-control-0088,seoul,control,domestic,2026-08-20,N,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0089,2026q3-seoul-control-0089,seoul,control,domestic,2026-08-28,N,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0090,2026q3-seoul-control-0090,seoul,control,tourist,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0091,2026q3-seoul-control-0091,seoul,control,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0092,2026q3-seoul-control-0092,seoul,control,tourist,2026-08-26,Y,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0093,2026q3-seoul-control-0093,seoul,control,domestic,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0094,2026q3-seoul-control-0094,seoul,control,domestic,2026-08-26,N,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0095,2026q3-seoul-control-0095,seoul,control,domestic,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0096,2026q3-seoul-control-0096,seoul,control,domestic,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0097,2026q3-seoul-control-0097,seoul,control,domestic,2026-08-27,N,2026-09-03,pilot_conversion_2026q3.csv
2026q3-conv-0098,2026q3-seoul-control-0098,seoul,control,domestic,2026-08-19,N,2026-08-26,pilot_conversion_2026q3.csv
2026q3-conv-0099,2026q3-seoul-control-0099,seoul,control,domestic,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0100,2026q3-seoul-control-0100,seoul,control,domestic,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0101,2026q3-busan-treatment-0101,busan,treatment,domestic,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0102,2026q3-busan-treatment-0102,busan,treatment,domestic,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0103,2026q3-busan-treatment-0103,busan,treatment,tourist,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0104,2026q3-busan-treatment-0104,busan,treatment,tourist,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0105,2026q3-busan-treatment-0105,busan,treatment,domestic,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0106,2026q3-busan-treatment-0106,busan,treatment,domestic,2026-08-27,N,2026-09-03,pilot_conversion_2026q3.csv
2026q3-conv-0107,2026q3-busan-treatment-0107,busan,treatment,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0108,2026q3-busan-treatment-0108,busan,treatment,tourist,2026-08-18,Y,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0109,2026q3-busan-treatment-0109,busan,treatment,domestic,2026-08-17,Y,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0110,2026q3-busan-treatment-0110,busan,treatment,domestic,2026-08-21,N,2026-08-28,pilot_conversion_2026q3.csv
2026q3-conv-0111,2026q3-busan-treatment-0111,busan,treatment,domestic,2026-08-28,Y,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0112,2026q3-busan-treatment-0112,busan,treatment,domestic,2026-08-27,N,2026-09-03,pilot_conversion_2026q3.csv
2026q3-conv-0113,2026q3-busan-treatment-0113,busan,treatment,tourist,2026-08-30,N,2026-09-06,pilot_conversion_2026q3.csv
2026q3-conv-0114,2026q3-busan-treatment-0114,busan,treatment,tourist,2026-08-29,N,2026-09-05,pilot_conversion_2026q3.csv
2026q3-conv-0115,2026q3-busan-treatment-0115,busan,treatment,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0116,2026q3-busan-treatment-0116,busan,treatment,tourist,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0117,2026q3-busan-treatment-0117,busan,treatment,domestic,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0118,2026q3-busan-treatment-0118,busan,treatment,tourist,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0119,2026q3-busan-treatment-0119,busan,treatment,tourist,2026-08-18,Y,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0120,2026q3-busan-treatment-0120,busan,treatment,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0121,2026q3-busan-treatment-0121,busan,treatment,domestic,2026-08-18,N,2026-08-25,pilot_conversion_2026q3.csv
2026q3-conv-0122,2026q3-busan-treatment-0122,busan,treatment,domestic,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0123,2026q3-busan-treatment-0123,busan,treatment,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0124,2026q3-busan-treatment-0124,busan,treatment,domestic,2026-08-15,N,2026-08-22,pilot_conversion_2026q3.csv
2026q3-conv-0125,2026q3-busan-treatment-0125,busan,treatment,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0126,2026q3-busan-control-0126,busan,control,tourist,2026-08-30,N,2026-09-06,pilot_conversion_2026q3.csv
2026q3-conv-0127,2026q3-busan-control-0127,busan,control,domestic,2026-08-17,Y,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0128,2026q3-busan-control-0128,busan,control,tourist,2026-08-26,N,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0129,2026q3-busan-control-0129,busan,control,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
