record_id,customer_id,region_id,group,acquisition_date,repeat_orders_count,repeat_window_end_date,source_file
2026q2-rep-0016,2026q2-jeju-treatment-0016,jeju,treatment,2026-05-06,0,2026-08-04,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0032,2026q2-jeju-treatment-0032,jeju,treatment,2026-05-16,0,2026-08-14,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0039,2026q2-jeju-treatment-0039,jeju,treatment,2026-06-04,0,2026-09-02,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0049,2026q2-jeju-treatment-0049,jeju,treatment,2026-05-29,0,2026-08-27,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0061,2026q2-jeju-treatment-0061,jeju,treatment,2026-06-04,0,2026-09-02,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0064,2026q2-jeju-treatment-0064,jeju,treatment,2026-05-15,0,2026-08-13,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0093,2026q2-jeju-control-0093,jeju,control,2026-05-29,0,2026-08-27,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0146,2026q2-seoul-treatment-0146,seoul,treatment,2026-06-10,0,2026-09-08,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0152,2026q2-seoul-treatment-0152,seoul,treatment,2026-05-27,0,2026-08-25,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0156,2026q2-seoul-treatment-0156,seoul,treatment,2026-06-13,0,2026-09-11,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0157,2026q2-seoul-treatment-0157,seoul,treatment,2026-06-09,2,2026-09-07,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0160,2026q2-seoul-treatment-0160,seoul,treatment,2026-05-13,0,2026-08-11,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0165,2026q2-seoul-treatment-0165,seoul,treatment,2026-05-15,0,2026-08-13,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0166,2026q2-seoul-treatment-0166,seoul,treatment,2026-05-22,0,2026-08-20,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0171,2026q2-seoul-treatment-0171,seoul,treatment,2026-05-06,2,2026-08-04,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0176,2026q2-seoul-treatment-0176,seoul,treatment,2026-06-15,0,2026-09-13,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0185,2026q2-seoul-treatment-0185,seoul,treatment,2026-05-26,0,2026-08-24,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0198,2026q2-seoul-treatment-0198,seoul,treatment,2026-05-26,0,2026-08-24,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0207,2026q2-seoul-treatment-0207,seoul,treatment,2026-05-15,1,2026-08-13,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0212,2026q2-seoul-control-0212,seoul,control,2026-05-02,0,2026-07-31,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0223,2026q2-seoul-control-0223,seoul,control,2026-05-17,2,2026-08-15,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0225,2026q2-seoul-control-0225,seoul,control,2026-06-03,0,2026-09-01,pilot_repeat_purchase_2026q2.csv
